publicid	eventtype	origintime	modificationtime	longitude	 latitude	 magnitude	 depth	magnitudetype	depthtype	evaluationmethod	evaluationstatus	evaluationmode	earthmodel	usedphasecount	usedstationcount	magnitudestationcount	minimumdistance	azimuthalgap	originerror	magnitudeuncertainty
2017p010808		2017-01-04T23:58:51.632Z	2017-01-05T00:01:17.107Z	174.2139612	-41.76538939	2.526491003	7.578125	M		NonLinLoc		automatic	nz3drx	23	23	13	0.0146884051	141.9315998	0.4786772911	0
2017p010766		2017-01-04T23:36:28.432Z	2017-01-04T23:37:26.334Z	176.5135829	-39.58785748	1.236866919	7.578125	M		NonLinLoc		automatic	nz3drx	11	11	4	0.1263702949	81.87651827	0.4299527147	0
2017p010735		2017-01-04T23:19:58.457Z	2017-01-04T23:23:11.628Z	176.0956171	-38.49249002	2.357687962	122.1875	M		NonLinLoc		automatic	nz3drx	47	47	24	0.0577690781	152.8529703	1.356489937	0
2017p010708		2017-01-04T23:05:41.672Z	2017-01-04T23:07:50.248Z	173.6968333	-42.2616711	2.36639097	23.28125	M		NonLinLoc		automatic	nz3drx	16	16	6	0.1941042581	158.7167147	0.5721813472	0
2017p010683		2017-01-04T22:52:23.440Z	2017-01-04T23:07:47.276Z	175.7308928	-39.4541157	1.657829299	17.421875	M		NonLinLoc		automatic	nz3drx	26	26	11	0.0492004291	87.45363493	0.8955193683	0
2017p010663		2017-01-04T22:41:29.073Z	2017-01-04T23:04:20.816Z	175.9114198	-38.70188619	2.728776005	130.15625	M		NonLinLoc		automatic	nz3drx	71	71	38	0.2719113018	64.35088249	1.234870392	0
2017p010656		2017-01-04T22:37:48.692Z	2017-01-04T22:39:15.161Z	178.6336998	-37.87772537	1.754966572	30.3125	M		NonLinLoc		automatic	nz3drx	10	10	4	0.1790572555	248.9151494	0.4865610347	0
2017p010645		2017-01-04T22:31:48.218Z	2017-01-04T22:34:13.134Z	176.0480371	-40.30973317	1.729767222	48.59375	M		NonLinLoc		automatic	nz3drx	15	15	6	0.2317823062	108.0524839	0.8909013228	0
2017p010630		2017-01-04T22:23:48.491Z	2017-01-04T22:26:14.287Z	175.0585662	-39.34281738	2.513178939	130.15625	M		NonLinLoc		automatic	nz3drx	64	64	31	0.2295156879	50.07533319	1.132886193	0
2017p010614		2017-01-04T22:15:38.509Z	2017-01-05T01:42:28.169Z	174.2579387	-41.71913375	3.551011735	19.0625	M		NonLinLoc		automatic	nz3drx	77	77	34	0.0458325308	125.2869031	1.97839475	0
2017p010591		2017-01-04T22:03:19.960Z	2017-01-04T22:05:54.284Z	174.3195134	-41.76264644	2.894929431	11.09375	M		NonLinLoc		automatic	nz3drx	36	36	19	0.0794228291	143.7700082	1.216753894	0
2017p010512		2017-01-04T21:21:05.258Z	2017-01-04T21:22:56.328Z	174.2460974	-41.79886327	2.422192337	22.8125	M		NonLinLoc		automatic	nz3drx	21	21	10	0.0534702296	147.4472973	0.6481825783	0
2017p010510		2017-01-04T21:19:47.668Z	2017-01-04T21:21:46.391Z	177.0762288	-39.61738446	1.68533336	22.34375	M		NonLinLoc		automatic	nz3drx	11	11	7	0.0425281857	192.8028899	0.6202299195	0
2017p010468		2017-01-04T20:57:33.869Z	2017-01-04T21:00:04.730Z	175.9718876	-39.73732528	2.172691649	25.15625	M		NonLinLoc		automatic	nz3drx	21	21	6	0.3648542584	90.73073537	0.8984855597	0
2017p010466		2017-01-04T20:56:50.895Z	2017-01-04T20:59:09.169Z	175.4342711	-38.31540032	2.540021644	98.75	M		NonLinLoc		automatic	nz3drx	14	14	6	0.5866345396	197.96973	1.634922803	0
2017p010456		2017-01-04T20:51:14.592Z	2017-01-04T20:53:39.944Z	176.0897752	-38.54232097	2.320436078	149.375	M		NonLinLoc		automatic	nz3drx	22	22	12	0.3806667515	209.0336067	1.295489277	0
2017p010418		2017-01-04T20:30:53.494Z	2017-01-04T20:33:05.181Z	172.4567164	-42.74981909	2.507376582	14.84375	M		NonLinLoc		automatic	nz3drx	21	21	6	0.1401174681	61.86099722	0.8635199618	0
2017p010398		2017-01-04T20:20:05.496Z	2017-01-04T20:21:58.574Z	173.3918729	-41.11291692	2.024365374	71.5625	M		NonLinLoc		automatic	nz3drx	12	12	5	0.1063485161	118.7244547	0.4981333294	0
2017p010375		2017-01-04T20:08:34.253Z	2017-01-04T20:10:53.423Z	173.5376394	-40.7334084	2.682274632	123.125	M		NonLinLoc		automatic	nz3drx	10	10	6	0.2980332852	200.5804376	1.444917579	0
2017p010358		2017-01-04T19:59:14.288Z	2017-01-04T20:00:57.338Z	174.1454428	-41.85096791	2.070514183	17.65625	M		NonLinLoc		automatic	nz3drx	15	15	7	0.1131508184	171.1153995	0.370731304	0
2017p010355		2017-01-04T19:57:20.070Z	2017-01-04T19:59:38.214Z	176.855675	-36.47268281	2.551920179	89.375	M		NonLinLoc		automatic	nz3drx	16	16	6	0.9600360178	237.5948428	1.835311574	0
2017p010350		2017-01-04T19:54:32.170Z	2017-01-04T19:57:05.176Z	174.1412755	-41.83749903	2.647677587	19.53125	M		NonLinLoc		automatic	nz3drx	29	29	16	0.1029562556	143.7972497	0.863575087	0
2017p010342		2017-01-04T19:50:39.673Z	2017-01-04T19:53:10.223Z	178.2235236	-37.49192662	2.434430747	24.6875	M		NonLinLoc		automatic	nz3drx	15	15	8	0.0946459339	208.8150389	0.4762535898	0
