publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p023036,,2017-01-09T12:33:45.986Z,2017-01-09T12:35:54.823Z,174.1261934,-41.85540913,2.189343455,13.4375,M,,NonLinLoc,,automatic,nz3drx,20,20,6,0.1242210485,146.7270338,0.5545082534,0
2017p023029,,2017-01-09T12:30:11.430Z,2017-01-09T12:31:41.240Z,176.1337399,-39.99392113,1.862623211,17.1875,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.1499984726,135.3825269,0.6421362034,0
2017p023001,,2017-01-09T12:15:04.915Z,2017-01-09T12:18:35.783Z,173.9254549,-42.31504381,2.69755176,31.71875,M,,NonLinLoc,,automatic,nz3drx,36,36,12,0.3036185549,152.2743391,0.849307451,0
2017p022970,,2017-01-09T11:58:31.374Z,2017-01-09T12:01:27.575Z,173.6190861,-42.24105161,2.542660501,30.3125,M,,NonLinLoc,,automatic,nz3drx,28,28,13,0.1850443261,144.9866245,0.8204023788,0
2017p022935,,2017-01-09T11:39:52.016Z,2017-01-09T11:42:15.136Z,172.9060438,-42.18355619,2.897117113,51.875,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.52203786,104.8064703,2.906687911,0
2017p022899,,2017-01-09T11:20:37.171Z,2017-01-09T11:21:47.147Z,176.1880903,-39.70968639,1.459213025,19.765625,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1563910899,102.403728,0.2326579114,0
2017p022887,,2017-01-09T11:14:19.261Z,2017-01-09T11:16:23.984Z,173.6980962,-42.1749362,2.289325886,24.21875,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.2689746488,154.6620392,0.4089176114,0
2017p022881,,2017-01-09T11:11:10.822Z,2017-01-09T11:15:13.496Z,176.8112145,-40.52589435,3.32458248,22.34375,M,,NonLinLoc,,automatic,nz3drx,85,85,57,0.2610390507,188.0024578,1.483749163,0
2017p022870,,2017-01-09T11:05:24.716Z,2017-01-09T11:08:54.446Z,173.1697741,-42.50670316,2.68396461,29.84375,M,,NonLinLoc,,automatic,nz3drx,33,33,11,0.2873976628,116.3163959,0.8357103301,0
2017p022854,,2017-01-09T10:57:03.813Z,2017-01-09T10:59:17.337Z,173.1388666,-43.02657069,2.156884144,14.84375,M,,NonLinLoc,,automatic,nz3drx,15,15,3,0.09622477938,165.2371648,0.7714320232,0
2017p022841,,2017-01-09T10:50:10.718Z,2017-01-09T10:52:13.071Z,173.7265519,-42.03392913,2.153626575,18.125,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.3372004126,148.0811187,0.4077146573,0
2017p022838,,2017-01-09T10:48:23.216Z,2017-01-09T10:50:31.806Z,175.874621,-38.56571698,2.136378285,79.0625,M,,NonLinLoc,,automatic,nz3drx,22,22,5,0.4931430976,124.2000609,1.139940485,0
2017p022836,,2017-01-09T10:47:28.991Z,2017-01-09T10:49:54.220Z,167.7784304,-44.96876074,2.488779538,64.0625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.3060490584,157.0835751,0.5473585436,0
2017p022803,,2017-01-09T10:29:34.781Z,2017-01-09T10:31:43.620Z,173.7299556,-42.24928598,2.456478352,19.53125,M,,NonLinLoc,,automatic,nz3drx,17,17,6,0.2192129572,149.0655072,0.6927675048,0
2017p022800,,2017-01-09T10:28:18.113Z,2017-01-09T10:30:32.007Z,173.7380532,-42.07931887,2.470609227,21.40625,M,,NonLinLoc,,automatic,nz3drx,25,25,11,0.368458966,151.4238121,0.6026408864,0
2017p022791,,2017-01-09T10:23:21.641Z,2017-01-09T10:26:57.956Z,178.351671,-37.48925629,2.56451177,32.1875,M,,NonLinLoc,,automatic,nz3drx,31,31,15,0.08497278508,238.4684157,1.04944705,0
2017p022765,,2017-01-09T10:09:54.917Z,2017-01-09T10:12:04.811Z,178.4509711,-37.55230471,2.005716959,22.8125,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1161602673,285.1281215,0.7166494714,0
2017p022657,,2017-01-09T09:12:05.237Z,2017-01-09T09:15:40.090Z,178.3127902,-37.40143762,2.718112576,28.4375,M,,NonLinLoc,,automatic,nz3drx,30,30,16,0.1631806482,234.9954299,1.049989414,0
2017p022647,,2017-01-09T09:06:38.733Z,2017-01-09T09:09:40.010Z,173.6689576,-42.16240584,2.519620036,20.9375,M,,NonLinLoc,,automatic,nz3drx,21,21,9,0.2717947763,155.9187198,0.6453092526,0
2017p022639,,2017-01-09T09:02:20.356Z,2017-01-09T09:04:59.128Z,173.7934697,-42.32121684,2.368487758,27.96875,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.2111713324,182.3037566,0.8223700249,0
2017p022632,,2017-01-09T08:58:28.523Z,2017-01-09T09:02:04.900Z,173.8931108,-42.32244584,2.858222179,34.0625,M,,NonLinLoc,,automatic,nz3drx,42,42,17,0.2785345833,151.2815008,0.8707456094,0
2017p022627,,2017-01-09T08:55:44.252Z,2017-01-09T08:57:45.501Z,174.150538,-41.69345854,2.376177551,15.078125,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.07378495693,71.68733566,0.3178993259,0
2017p022625,,2017-01-09T08:54:55.469Z,2017-01-09T08:57:11.180Z,173.128682,-42.60232049,2.713807653,19.53125,M,,NonLinLoc,,automatic,nz3drx,20,20,7,0.3558091358,128.7340809,0.6186230416,0
2017p022596,,2017-01-09T08:39:28.471Z,2017-01-09T08:40:38.643Z,176.8578423,-39.58744682,1.346862318,11.09375,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.1807268064,93.19625748,0.4180395794,0
2017p022550,,2017-01-09T08:14:46.396Z,2017-01-09T08:16:38.158Z,174.1276948,-41.84544294,2.520587566,14.375,M,,NonLinLoc,,automatic,nz3drx,20,20,12,0.1152319716,143.9369347,0.577191139,0
2017p022543,,2017-01-09T08:11:11.585Z,2017-01-09T08:13:22.273Z,174.1212788,-41.84692334,2.409313282,12.96875,M,,NonLinLoc,,automatic,nz3drx,21,21,10,0.1192211909,143.807445,0.6718583021,0
2017p022521,,2017-01-09T08:00:05.532Z,2017-01-09T08:02:36.125Z,176.5519009,-39.59318413,1.932656812,30.3125,M,,NonLinLoc,,automatic,nz3drx,28,28,8,0.1511984446,209.0334689,1.49602281,0
