origintime,longitude,latitude,altitude
2017-01-01 00:00:00,-4.85048424379,30.9369362653,636.097914895
2017-01-01 00:01:00,-5.820024828,34.5961261677,636.732479237
2017-01-01 00:02:00,-6.85540623915,38.2483867625,637.431583178
2017-01-01 00:03:00,-7.97332757199,41.8924282781,638.17839914
2017-01-01 00:04:00,-9.19559352066,45.5266459434,638.955516156
2017-01-01 00:05:00,-10.5513399968,49.1489603445,639.745254127
2017-01-01 00:06:00,-12.0804885553,52.756566249,640.529979463
2017-01-01 00:07:00,-13.8392867866,56.3455245067,641.292416665
2017-01-01 00:08:00,-15.909525595,59.9100728487,642.015950704
2017-01-01 00:09:00,-18.4145116864,63.4414075096,642.684915302
2017-01-01 00:10:00,-21.5480058943,66.925411093,643.284862664
2017-01-01 00:11:00,-25.6290971505,70.3381466247,643.802810573
2017-01-01 00:12:00,-31.2101828874,73.6362950407,644.227463259
2017-01-01 00:13:00,-39.2883300205,76.735506253,644.549402892
2017-01-01 00:14:00,-51.6448080866,79.4602175173,644.761249075
2017-01-01 00:15:00,-70.7680041408,81.4460152465,644.857784157
2017-01-01 00:16:00,-96.564177855,82.1141920442,644.83604272
2017-01-01 00:17:00,-121.487427584,81.1608449893,644.695364045
2017-01-01 00:18:00,-139.205837668,78.999454264,644.437406878
2017-01-01 00:19:00,-150.596161076,76.1852736402,644.066126257
2017-01-01 00:20:00,-158.109180886,73.0394498079,643.587712703
2017-01-01 00:21:00,-163.356433363,69.7148647007,643.01049449
2017-01-01 00:22:00,-167.230625531,66.2857154796,642.344804258
2017-01-01 00:23:00,-170.229255109,62.7906363376,641.602811693
2017-01-01 00:24:00,-172.642333215,59.2512507031,640.798324491
2017-01-01 00:25:00,-174.647554778,55.6804536667,639.94656035
2017-01-01 00:26:00,-176.3589167,52.0863646659,639.063893182
2017-01-01 00:27:00,-177.852568043,48.4743444868,638.167577267
2017-01-01 00:28:00,-179.181198427,44.848088193,637.275453481
2017-01-01 00:29:00,179.617593679,41.2102489371,636.405642196
2017-01-01 00:30:00,178.516235289,37.5628101642,635.576227804
2017-01-01 00:31:00,177.494000492,33.9073161558,634.804940129
2017-01-01 00:32:00,176.534950997,30.2450193167,634.108838217
2017-01-01 00:33:00,175.626562318,26.5769766262,633.504002148
2017-01-01 00:34:00,174.758782384,22.9041139756,633.005238515
2017-01-01 00:35:00,173.923369811,19.227269601,632.625805111
2017-01-01 00:36:00,173.113416845,15.5472235577,632.377160164
2017-01-01 00:37:00,172.322996224,11.8647176795,632.268741063
2017-01-01 00:38:00,171.546891941,8.18046898178,632.307777043
2017-01-01 00:39:00,170.780386768,4.49517854177,632.499139672
2017-01-01 00:40:00,170.019087364,0.809537333688,632.845234251
2017-01-01 00:41:00,169.258772767,-2.87576985174,633.345934423
2017-01-01 00:42:00,168.495255026,-6.56006147793,633.998561393
2017-01-01 00:43:00,167.724242117,-10.2426564947,634.797908229
2017-01-01 00:44:00,166.941193683,-13.9228709284,635.736308773
2017-01-01 00:45:00,166.141159148,-17.6000129646,636.803749755
2017-01-01 00:46:00,165.318585713,-21.2733755148,637.988023838
2017-01-01 00:47:00,164.467079798,-24.9422249894,639.274920485
2017-01-01 00:48:00,163.579099205,-28.6057845598,640.648450851
2017-01-01 00:49:00,162.645543134,-32.2632094737,642.091102269
2017-01-01 00:50:00,161.655190828,-35.9135508183,643.584117451
2017-01-01 00:51:00,160.593913046,-39.5557021987,645.107793138
2017-01-01 00:52:00,159.443536186,-43.1883205392,646.64179276
2017-01-01 00:53:00,158.18016297,-46.8097065735,648.165467533
2017-01-01 00:54:00,156.771619657,-50.4176204819,649.658180495
2017-01-01 00:55:00,155.173455473,-54.0089893592,651.099628084
2017-01-01 00:56:00,153.322457269,-57.5794268293,652.47015412
2017-01-01 00:57:00,151.125731493,-61.122411226,653.751051348
2017-01-01 00:58:00,148.441537736,-64.6278104104,654.924846063
2017-01-01 00:59:00,145.04409284,-68.0790816181,655.975561768
2017-01-01 01:00:00,140.556031834,-71.4476074522,656.888958239
2017-01-01 01:01:00,134.31503963,-74.6804331139,657.652742828
2017-01-01 01:02:00,125.120646359,-77.6721470395,658.256751328
2017-01-01 01:03:00,110.908023007,-80.2011773872,658.693096149
2017-01-01 01:04:00,89.4143414047,-81.8276408126,658.956280038
2017-01-01 01:05:00,62.9258095087,-81.9829063846,659.043274013
2017-01-01 01:06:00,40.0595794209,-80.5939762911,658.953558638
2017-01-01 01:07:00,24.6110874162,-78.1934583686,658.689128166
2017-01-01 01:08:00,14.6595478997,-75.2671581971,658.254457554
2017-01-01 01:09:00,7.97676855827,-72.0698655973,657.65643273
2017-01-01 01:10:00,3.22147887883,-68.7224716274,656.904244971
2017-01-01 01:11:00,-0.346024661721,-65.2849171421,656.009250637
2017-01-01 01:12:00,-3.14371674214,-61.7891555457,654.984798011
2017-01-01 01:13:00,-5.41934233353,-58.2534368507,653.84602337
2017-01-01 01:14:00,-7.32708081537,-54.6888236293,652.609618942
2017-01-01 01:15:00,-8.96720571595,-51.1023718205,651.293575806
2017-01-01 01:16:00,-10.4074975099,-47.4987874472,649.916905269
2017-01-01 01:17:00,-11.6953405724,-43.8813404712,648.499342698
2017-01-01 01:18:00,-12.8648545849,-40.2523944695,647.061038152
2017-01-01 01:19:00,-13.9412638757,-36.6137268792,645.622238598
2017-01-01 01:20:00,-14.9436685743,-32.9667296297,644.202966726
2017-01-01 01:21:00,-15.8868575587,-29.3125385841,642.822701683
2017-01-01 01:22:00,-16.7825285167,-25.6521190154,641.500067165
2017-01-01 01:23:00,-17.6401308339,-21.9863230301,640.252532352
2017-01-01 01:24:00,-18.4674628056,-18.3159285607,639.096131131
2017-01-01 01:25:00,-19.2711056447,-14.6416659513,638.045204814
2017-01-01 01:26:00,-20.0567475489,-10.9642360314,637.112173293
2017-01-01 01:27:00,-20.8294332075,-7.28432229015,636.30733907
2017-01-01 01:28:00,-21.593763037,-3.60259897911,635.638728068
2017-01-01 01:29:00,-22.3540595049,0.0802635154123,635.111970401
2017-01-01 01:30:00,-23.1145136674,3.76359498528,634.730223544
2017-01-01 01:31:00,-23.8793225638,7.44672251417,634.49413944
2017-01-01 01:32:00,-24.6528270628,11.1289675881,634.401876212
2017-01-01 01:33:00,-25.4396597801,14.8096423889,634.44915418
2017-01-01 01:34:00,-26.2449139012,18.4880443754,634.629355002
2017-01-01 01:35:00,-27.0743463656,22.1634480776,634.933661835
2017-01-01 01:36:00,-27.9346333018,25.835092716,635.351237598
2017-01-01 01:37:00,-28.8337029038,29.5021637515,635.869437694
2017-01-01 01:38:00,-29.7811825455,33.1637656412,636.474052886
2017-01-01 01:39:00,-30.7890157151,36.818881727,637.149577526
2017-01-01 01:40:00,-31.8723351285,40.4663149464,637.879497942
2017-01-01 01:41:00,-33.0507301237,44.1045992433,638.646595532
2017-01-01 01:42:00,-34.3501357255,47.7318648959,639.433258972
2017-01-01 01:43:00,-35.80572992,51.3456289219,640.221799974
2017-01-01 01:44:00,-37.466519219,54.9424590524,640.99476708
2017-01-01 01:45:00,-39.4028551958,58.5174152272,641.735252243
2017-01-01 01:46:00,-41.7192470909,62.0630806416,642.427185187
2017-01-01 01:47:00,-44.5771659451,65.567793893,643.055610906
2017-01-01 01:48:00,-48.2375317123,69.0122296611,643.606946082
2017-01-01 01:49:00,-53.1433000292,72.3623354154,644.069210621
2017-01-01 01:50:00,-60.0830150484,75.5537139177,644.432230999
2017-01-01 01:51:00,-70.4884392842,78.4553912891,644.687812563
2017-01-01 01:52:00,-86.6880733156,80.7906902238,644.829878461
2017-01-01 01:53:00,-110.349920414,82.0451270122,644.854573325
2017-01-01 01:54:00,-136.779299082,81.7127914637,644.760330346
2017-01-01 01:55:00,-157.510488076,79.9497073665,644.547900852
2017-01-01 01:56:00,-171.066302356,77.3396407972,644.220345994
2017-01-01 01:57:00,-179.853599652,74.2987596317,643.782990606
2017-01-01 01:58:00,174.149299281,71.0323457178,643.243339817
2017-01-01 01:59:00,169.812943748,67.6381555041,642.610959448
2017-01-01 02:00:00,166.514603298,64.165629704,641.897321739
2017-01-01 02:01:00,163.898153268,60.6416909782,641.115618441
2017-01-01 02:02:00,161.749556715,57.0820188934,640.280543789
2017-01-01 02:03:00,159.93386517,53.4962875435,639.408050401
2017-01-01 02:04:00,158.362291339,49.8907707459,638.515081596
2017-01-01 02:05:00,156.974207402,46.2697222044,637.619284115
2017-01-01 02:06:00,155.726849497,42.6361481197,636.738705676
2017-01-01 02:07:00,154.589179246,38.9922606264,635.891482159
2017-01-01 02:08:00,153.538084128,35.3397547881,635.095519594
2017-01-01 02:09:00,152.555945352,31.6799835601,634.368176356
2017-01-01 02:10:00,151.629033308,28.0140713436,633.725951164
2017-01-01 02:11:00,150.746419344,24.3429892436,633.184182533
2017-01-01 02:12:00,149.899218351,20.6676056772,632.756765297
2017-01-01 02:13:00,149.080048134,16.9887206733,632.455889618
2017-01-01 02:14:00,148.282633435,13.3070891417,632.291807607
